sim_time, big_dog?world_angular_velocity/y
207.861, -0.0970904
207.862, -0.0985485
207.863, -0.100014
207.864, -0.101484
207.865, -0.103498
207.866, -0.105056
207.867, -0.10664
207.868, -0.108242
207.869, -0.109857
207.87, -0.111477
207.871, -0.113232
207.872, -0.114799
207.873, -0.116399
207.874, -0.117944
207.875, -0.119487
207.876, -0.120995
207.877, -0.122503
207.878, -0.124007
207.879, -0.125506
207.88, -0.126997
207.881, -0.12848
207.882, -0.130132
207.883, -0.132164
207.884, -0.134131
207.885, -0.136041
207.886, -0.137899
207.887, -0.139708
207.888, -0.14152
207.889, -0.143294
207.89, -0.14496
207.891, -0.146593
207.892, -0.144126
207.893, -0.141953
207.894, -0.139726
207.895, -0.137578
207.896, -0.135531
207.897, -0.133567
207.898, -0.131672
207.899, -0.129837
207.9, -0.128054
207.901, -0.126317
207.902, -0.12462
207.903, -0.122959
207.904, -0.12145
207.905, -0.119977
207.906, -0.118534
207.907, -0.117121
207.908, -0.115737
207.909, -0.114378
207.91, -0.113045
207.911, -0.111734
207.912, -0.110444
207.913, -0.109174
207.914, -0.107923
207.915, -0.0734526
207.916, -0.0723572
207.917, -0.0703558
207.918, -0.0672515
207.919, -0.0650378
207.92, -0.0630109
207.921, -0.0612931
207.922, -0.0598312
207.923, -0.0585834
207.924, -0.0575182
207.925, -0.0566071
207.926, -0.0558265
207.927, -0.0551566
207.928, -0.0292226
207.929, -0.0119251
207.93, 0.0036634
207.931, 0.0176283
207.932, 0.0300656
207.933, 0.0412196
207.934, 0.0511392
207.935, 0.0602293
207.936, 0.0620917
207.937, 0.0735673
207.938, 0.0884813
207.939, 0.0996655
207.94, 0.115006
207.941, 0.130877
207.942, 0.147159
207.943, 0.163773
207.944, 0.180792
207.945, 0.198032
207.946, 0.215461
207.947, 0.233052
207.948, 0.244542
207.949, 0.260846
207.95, 0.27117
207.951, 0.278299
207.952, 0.284317
207.953, 0.29014
207.954, 0.295671
207.955, 0.301397
207.956, 0.306232
207.957, 0.311342
207.958, 0.316549
207.959, 0.321768
207.96, 0.326991
207.961, 0.332211
207.962, 0.337421
207.963, 0.342615
207.964, 0.34779
207.965, 0.352942
207.966, 0.358068
207.967, 0.363166
207.968, 0.368489
207.969, 0.373741
207.97, 0.378928
207.971, 0.384052
207.972, 0.389118
