sim_time, big_dog?world_pose/orientation/roll
209.274, 0.0183706
209.275, 0.0184556
209.276, 0.0185415
209.277, 0.0186282
209.278, 0.0187161
209.279, 0.0188051
209.28, 0.0188951
209.281, 0.0189863
209.282, 0.0190786
209.283, 0.0191721
209.284, 0.0192666
209.285, 0.0193624
209.286, 0.0194594
209.287, 0.019558
209.288, 0.0196581
209.289, 0.01976
209.29, 0.0198635
209.291, 0.0199688
209.292, 0.0200759
209.293, 0.0201846
209.294, 0.0202948
209.295, 0.0204066
209.296, 0.0205198
209.297, 0.0206343
209.298, 0.0207504
209.299, 0.020868
209.3, 0.020987
209.301, 0.0211074
209.302, 0.0212292
209.303, 0.0213523
209.304, 0.0214771
209.305, 0.0216035
209.306, 0.0217314
209.307, 0.0218608
209.308, 0.0219919
209.309, 0.0221243
209.31, 0.0222578
209.311, 0.0223933
209.312, 0.0225305
209.313, 0.0226698
209.314, 0.0228109
209.315, 0.0229539
209.316, 0.0230988
209.317, 0.0232455
209.318, 0.0233938
209.319, 0.0235437
209.32, 0.0236951
209.321, 0.0238483
209.322, 0.0240032
209.323, 0.0241598
209.324, 0.0243178
209.325, 0.0244774
209.326, 0.0246383
209.327, 0.0248011
209.328, 0.0249636
209.329, 0.0251261
209.33, 0.0252893
209.331, 0.0254536
209.332, 0.0256177
209.333, 0.0257821
209.334, 0.025947
209.335, 0.0261123
209.336, 0.0262784
209.337, 0.0264452
209.338, 0.0266127
209.339, 0.026781
209.34, 0.0269498
209.341, 0.0271193
209.342, 0.0272894
209.343, 0.0274602
209.344, 0.0276316
209.345, 0.0278039
209.346, 0.0279769
209.347, 0.0281507
209.348, 0.0283251
209.349, 0.0285006
209.35, 0.0286769
209.351, 0.0288541
209.352, 0.0290321
209.353, 0.0292108
209.354, 0.0293904
209.355, 0.0295695
209.356, 0.0297484
209.357, 0.0299271
209.358, 0.0301055
209.359, 0.0302839
209.36, 0.0304623
209.361, 0.0306408
209.362, 0.0308193
209.363, 0.0309978
209.364, 0.0311763
209.365, 0.0313548
209.366, 0.0315335
209.367, 0.0317123
209.368, 0.0318912
209.369, 0.0320703
209.37, 0.0322495
209.371, 0.0324289
209.372, 0.0326085
209.373, 0.0327881
209.374, 0.0329681
209.375, 0.0331483
209.376, 0.0333287
209.377, 0.0335094
209.378, 0.0336903
209.379, 0.0338715
209.38, 0.0340529
209.381, 0.0342345
209.382, 0.0344177
209.383, 0.0345991
209.384, 0.0347789
209.385, 0.0349572
209.386, 0.0351344
209.387, 0.0353103
209.388, 0.0354853
209.389, 0.0356593
209.39, 0.0358324
209.391, 0.0360048
209.392, 0.0361764
209.393, 0.0363474
209.394, 0.0365177
209.395, 0.0366874
209.396, 0.0368567
209.397, 0.0370254
209.398, 0.0371937
209.399, 0.0373615
209.4, 0.037529
209.401, 0.0376961
209.402, 0.0378628
209.403, 0.0380291
209.404, 0.0381951
209.405, 0.0383606
209.406, 0.0385258
209.407, 0.0386908
209.408, 0.0388552
209.409, 0.0390192
209.41, 0.0391831
